Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
Torbay,880,2017-18,South West,South West,Unitary,Inadequate,25417,141,56,327,129,1159,83,7,0.24,2150,1924,10
Essex,881,2017-18,East of England,East of England,County,Outstanding,308028,623,20,1017,33,7620,909,12,0.17,424,35186,17
Southend-on-Sea,882,2017-18,East of England,East of England,Unitary,Requires improvement to be good,39115,116,30,291,74,1323,178,14,0.23,4354,7781,27
Thurrock,883,2017-18,East of England,East of England,Unitary,Good,42824,226,53,308,72,1883,154,8,0.22,1042,10455,38
Herefordshire,884,2017-18,West Midlands,West Midlands,Unitary,Requires improvement to be good,35933,197,55,313,87,1315,220,17,0.14,88,2808,12
Worcestershire,885,2017-18,West Midlands,West Midlands,County,Requires improvement to be good,116938,424,36,793,68,3386,561,17,0.16,338,11019,14
Kent,886,2017-18,South East,South East,County,Good,336090,1462,44,1645,49,10019,1356,14,0.18,439,46196,20
Medway,887,2017-18,South East,South East,Unitary,Inadequate,63943,344,54,414,65,1945,322,17,0.22,1434,11495,25
Lancashire,888,2017-18,North West,North West,County,Requires improvement to be good,247856,1245,50,1964,79,8972,1241,14,0.18,414,32964,19
Blackburn with Darwen,889,2017-18,North West,North West,Unitary,Good,38657,280,72,377,98,1690,128,8,0.24,1086,14351,54
Blackpool,890,2017-18,North West,North West,Unitary,Inadequate,28760,275,96,533,185,1796,139,8,0.33,4013,2213,12
Nottinghamshire,891,2017-18,East Midlands,East Midlands,County,Good,165481,811,49,797,48,4500,236,5,0.18,392,17001,14
Nottingham,892,2017-18,East Midlands,East Midlands,Unitary,Requires improvement to be good,67939,577,85,618,91,3018,517,17,0.35,4412,24283,54
Shropshire,893,2017-18,West Midlands,West Midlands,Unitary,Good,59691,190,32,338,57,1207,131,11,0.13,99,3209,8
Telford and Wrekin,894,2017-18,West Midlands,West Midlands,Unitary,Outstanding,40141,229,57,370,92,1379,227,17,0.25,605,6072,21
Cheshire East,895,2017-18,North West,North West,Unitary,Requires improvement to be good,75834,286,38,477,63,2182,212,10,0.12,325,6081,12
Cheshire West and Chester,896,2017-18,North West,North West,Unitary,Good,67284,215,32,496,74,2295,205,9,0.17,369,4504,9
Cornwall,908,2017-18,South West,South West,Unitary,Outstanding,107044,385,36,465,43,3632,530,15,0.18,158,5263,7
Cumbria,909,2017-18,North West,North West,County,Requires improvement to be good,92624,614,66,665,72,3305,333,10,0.16,74,3848,6
Gloucestershire,916,2017-18,South West,South West,County,Inadequate,127004,653,51,657,52,3864,271,7,0.15,237,13833,16
Hertfordshire,919,2017-18,East of England,East of England,County,Good,269296,522,19,890,33,5053,1028,20,0.13,719,57510,30
Isle of Wight,921,2017-18,South East,South East,Unitary,Good,25055,193,77,226,90,1230,246,20,0.2,371,1237,7
Lincolnshire,925,2017-18,East Midlands,East Midlands,County,Outstanding,144653,299,21,654,45,3449,441,13,0.18,127,14284,14
Norfolk,926,2017-18,East of England,East of England,County,Requires improvement to be good,170025,608,36,1179,69,4789,1047,22,0.18,167,15878,14
Northamptonshire,928,2017-18,East Midlands,East Midlands,County,Inadequate,167948,734,44,1090,65,5430,334,6,0.17,314,30216,26
Northumberland,929,2017-18,North East,North East,Unitary,Good,58926,391,66,387,66,2692,386,14,0.19,64,2270,5
Oxfordshire,931,2017-18,South East,South East,County,Good,143444,687,48,685,48,4293,408,10,0.12,262,22853,25
Somerset,933,2017-18,South West,South West,County,Requires improvement to be good,110084,428,39,522,47,3193,387,12,0.15,161,7013,10
Suffolk,935,2017-18,East of England,East of England,County,Outstanding,152903,455,30,856,56,3650,694,19,0.15,199,15921,16
Surrey,936,2017-18,South East,South East,County,Inadequate,260305,996,38,928,36,7019,1061,15,0.1,713,38463,25
Warwickshire,937,2017-18,West Midlands,West Midlands,County,Requires improvement to be good,114422,561,49,717,63,3892,248,6,0.14,286,15430,19
West Sussex,938,2017-18,South East,South East,County,Inadequate,173281,775,45,704,41,7233,453,6,0.13,428,20615,19
"Bournemouth, Christchurch and Poole",839,2017-18,South West,South West,Unitary,Not yet inspected,66171,300,45,441,67,2221,252,11,0.17,6553,8898,20
City of London,201,2016-17,London,Inner London,City of London Corporation,Outstanding,1104,0,0,10,103,55,6,11,0.1,2495,136,77
Camden,202,2016-17,London,Inner London,London borough,Good,47906,257,54,200,42,1756,448,26,0.27,11435,15006,77
Greenwich,203,2016-17,London,Outer London,London borough,Good,67291,294,44,495,74,2799,485,17,0.27,5897,23906,68
Hackney,204,2016-17,London,Inner London,London borough,Requires improvement to be good,62355,330,53,370,59,3133,317,10,0.32,14344,24524,84
Hammersmith and Fulham,205,2016-17,London,Inner London,London borough,Good,35041,92,26,215,61,1447,217,15,0.27,11086,12839,74
Islington,206,2016-17,London,Inner London,London borough,Outstanding,40741,205,50,340,83,2103,281,13,0.35,15620,14945,73
Kensington and Chelsea,207,2016-17,London,Inner London,London borough,Outstanding,28374,67,24,80,28,988,105,11,0.17,12931,8330,79
Lambeth,208,2016-17,London,Inner London,London borough,Requires improvement to be good,62422,158,25,415,66,2793,315,11,0.3,12050,26757,85
Lewisham,209,2016-17,London,Inner London,London borough,Requires improvement to be good,67963,303,45,455,67,2681,417,16,0.3,8504,26098,77
Southwark,210,2016-17,London,Inner London,London borough,Good,63810,326,51,500,78,2639,245,9,0.3,10798,27694,79
Tower Hamlets,211,2016-17,London,Inner London,London borough,Good,66573,381,57,335,50,2535,85,3,0.39,15210,33627,91
Wandsworth,212,2016-17,London,Inner London,London borough,Requires improvement to be good,62069,401,65,290,46,2268,327,14,0.21,9383,20397,74
Westminster,213,2016-17,London,Inner London,London borough,Outstanding,44087,82,19,180,41,1698,178,11,0.29,11261,17103,86
Barking and Dagenham,301,2016-17,London,Outer London,London borough,Requires improvement to be good,61833,294,48,410,66,2054,87,4,0.32,5766,26993,75
Barnet,302,2016-17,London,Outer London,London borough,Good,90342,194,22,345,38,1861,262,14,0.18,4436,33903,69
Bexley,303,2016-17,London,Outer London,London borough,Outstanding,56540,176,31,240,42,1646,310,19,0.19,4046,16189,42
Brent,304,2016-17,London,Outer London,London borough,Good,76391,199,26,320,42,2364,201,9,0.27,7551,36418,93
Bromley,305,2016-17,London,Outer London,London borough,Good,73281,342,47,290,39,2294,393,17,0.17,2182,16345,37
Croydon,306,2016-17,London,Outer London,London borough,Good,94445,349,37,785,83,3708,406,11,0.23,4431,35248,71
Ealing,307,2016-17,London,Outer London,London borough,Requires improvement to be good,81849,229,28,345,42,2337,219,9,0.23,6208,38262,85
Enfield,308,2016-17,London,Outer London,London borough,Good,83908,223,27,325,39,2481,569,23,0.31,4109,39378,80
Haringey,309,2016-17,London,Inner London,London borough,Requires improvement to be good,60770,238,39,445,72,2210,87,4,0.29,9192,25561,80
Harrow,310,2016-17,London,Outer London,London borough,Good,57578,227,39,205,36,1994,227,11,0.17,4928,27381,88
Havering,311,2016-17,London,Outer London,London borough,Good,55748,295,53,245,44,1719,256,15,0.2,2255,11384,33
Hillingdon,312,2016-17,London,Outer London,London borough,Good,71882,301,42,310,43,2393,229,10,0.21,2592,28430,65
Hounslow,313,2016-17,London,Outer London,London borough,Good,63272,256,41,250,39,1755,277,16,0.22,4792,28708,80
Kingston upon Thames,314,2016-17,London,Outer London,London borough,Outstanding,38173,142,37,115,30,755,63,8,0.12,4662,11461,54
Merton,315,2016-17,London,Outer London,London borough,Good,46739,127,27,150,33,1342,193,14,0.17,5494,16033,68
Newham,316,2016-17,London,Inner London,London borough,Inadequate,85551,319,37,395,46,3154,360,11,0.29,9517,47710,94
Redbridge,317,2016-17,London,Outer London,London borough,Outstanding,76031,378,50,230,30,2246,459,20,0.19,5341,41867,86
Richmond upon Thames,318,2016-17,London,Outer London,London borough,Good,44864,111,25,105,24,836,92,11,0.09,3400,9127,40
Sutton,319,2016-17,London,Outer London,London borough,Good,46848,231,49,230,49,1731,449,26,0.16,4606,16423,50
Waltham Forest,320,2016-17,London,Outer London,London borough,Good,65996,226,34,280,42,2298,222,10,0.27,7066,29634,83
Birmingham,330,2016-17,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,286450,983,34,1840,64,8414,1160,14,0.31,4213,117872,69
Coventry,331,2016-17,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,76587,510,67,620,81,3574,327,9,0.25,3581,23139,49
Dudley,332,2016-17,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,68161,437,64,675,99,2551,466,18,0.22,3242,9630,24
Sandwell,333,2016-17,West Midlands,West Midlands,Metropolitan borough council,Inadequate,79948,428,54,610,76,2500,158,6,0.3,3771,26663,55
Solihull,334,2016-17,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,46072,182,40,385,83,1399,258,18,0.16,1190,8383,25
Walsall,335,2016-17,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,66231,333,50,650,98,2591,226,9,0.28,2682,16278,39
Wolverhampton,336,2016-17,West Midlands,West Midlands,Metropolitan borough council,Good,59285,292,49,640,108,3007,331,11,0.31,3716,19452,53
Knowsley,340,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,32728,219,67,290,89,1230,93,8,0.34,1711,1007,6
Liverpool,341,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,92234,375,41,1120,122,3496,183,5,0.33,4360,14157,23
St. Helens,342,2016-17,North West,North West,Metropolitan borough council,Inadequate,36367,230,63,425,117,1859,296,16,0.26,1309,1223,5
Sefton,343,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,53363,235,44,455,85,1861,280,15,0.21,1773,2671,8
Wirral,344,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,67710,377,56,765,113,2862,386,14,0.24,2052,3556,8
Bolton,350,2016-17,North West,North West,Metropolitan borough council,Good,66745,222,33,580,87,2286,157,7,0.23,2028,15376,36
Bury,351,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,42828,160,37,350,82,1526,284,19,0.18,1895,6655,26
Manchester,352,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,120048,942,79,1165,97,5170,352,7,0.34,4681,42721,62
Oldham,353,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,58876,316,54,495,84,2550,164,6,0.26,1632,16294,44
Rochdale,354,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,51441,153,30,460,89,1787,372,21,0.27,1368,11280,38
Salford,355,2016-17,North West,North West,Metropolitan borough council,Good,54870,424,77,520,95,2401,325,14,0.28,2553,7673,26
Stockport,356,2016-17,North West,North West,Metropolitan borough council,Good,62369,239,38,330,53,1843,248,14,0.16,2299,5985,17
Tameside,357,2016-17,North West,North West,Metropolitan borough council,Requires improvement to be good,49402,374,76,515,105,2761,97,4,0.25,2163,6592,21
Trafford,358,2016-17,North West,North West,Metropolitan borough council,Inadequate,55006,258,47,385,70,1470,139,10,0.14,2209,11032,31
Wigan,359,2016-17,North West,North West,Metropolitan borough council,Good,67933,260,38,445,66,2103,226,11,0.2,1719,3120,8
Barnsley,370,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,49857,256,51,290,58,1550,275,18,0.25,735,2227,8
Doncaster,371,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,65598,427,65,510,78,2646,174,7,0.25,541,5927,15
Rotherham,372,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,56610,367,65,485,86,2611,134,5,0.24,915,6548,17
Sheffield,373,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,116295,449,39,585,50,4308,625,15,0.24,1560,23027,34
Bradford,380,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,140973,559,40,925,66,3975,381,10,0.25,1453,47616,57
Calderdale,381,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,46097,251,55,315,69,1380,103,8,0.21,574,7925,25
Kirklees,382,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Requires improvement to be good,99134,437,44,700,70,3227,382,12,0.19,1065,22989,39
Leeds,383,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Outstanding,164819,515,31,1255,76,6083,418,7,0.23,1416,33130,32
Wakefield,384,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,70499,156,22,520,74,2343,292,13,0.22,995,5842,13
Gateshead,390,2016-17,North East,North East,Metropolitan borough council,Good,40030,313,78,380,95,1742,322,19,0.23,1423,2549,10
Newcastle upon Tyne,391,2016-17,North East,North East,Metropolitan borough council,Requires improvement to be good,56899,392,69,535,94,2594,535,21,0.27,2589,10146,30
North Tyneside,392,2016-17,North East,North East,Metropolitan borough council,Outstanding,40595,146,36,295,73,1351,164,12,0.2,2473,2129,8
South Tyneside,393,2016-17,North East,North East,Metropolitan borough council,Good,29498,173,59,275,93,1214,187,15,0.28,2317,1479,8
Sunderland,394,2016-17,North East,North East,Metropolitan borough council,Inadequate,54255,423,78,540,100,2704,177,7,0.26,2018,2689,8
Isles of Scilly,420,2016-17,South West,South West,Council of the Isles of Scilly,Good,382,0,0,0,0,32,0,0,0.01,143,28,13
Bath and North East Somerset,800,2016-17,South West,South West,Unitary,Good,35193,131,37,160,46,1037,236,23,0.12,540,3046,13
"Bristol, City of",801,2016-17,South West,South West,Unitary,Requires improvement to be good,93694,494,53,685,73,3600,610,17,0.25,4156,17946,36
North Somerset,802,2016-17,South West,South West,Unitary,Requires improvement to be good,43082,150,35,225,52,1298,210,16,0.15,567,2828,11
South Gloucestershire,803,2016-17,South West,South West,Unitary,Requires improvement to be good,57715,182,32,180,31,1509,352,23,0.12,557,5391,15
Hartlepool,805,2016-17,North East,North East,Unitary,Good,19986,152,76,255,129,1319,137,10,0.31,992,778,6
Middlesbrough,806,2016-17,North East,North East,Unitary,Inadequate,32175,276,86,440,137,2074,320,15,0.36,2604,4914,25
Redcar and Cleveland,807,2016-17,North East,North East,Unitary,Requires improvement to be good,27346,200,73,235,86,1259,187,15,0.27,553,723,4
Stockton-on-Tees,808,2016-17,North East,North East,Unitary,Requires improvement to be good,43012,308,72,435,101,2063,190,9,0.23,956,2866,11
"Kingston Upon Hull, City of",810,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,56001,412,74,695,124,3507,526,15,0.34,3639,5986,18
East Riding of Yorkshire,811,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,62763,214,34,285,46,1894,310,16,0.13,140,2560,6
North East Lincolnshire,812,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,34261,202,59,295,87,1975,86,4,0.29,833,1530,8
North Lincolnshire,813,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Outstanding,35401,111,31,225,64,903,129,14,0.21,202,2807,13
North Yorkshire,815,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,County,Outstanding,117453,426,36,425,36,2553,500,20,0.11,76,6079,8
York,816,2016-17,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,36639,171,47,205,56,1248,90,7,0.12,761,2503,11
Luton,821,2016-17,East of England,East of England,Unitary,Inadequate,56881,222,39,365,64,2125,434,20,0.24,4980,25658,78
Bedford Borough,822,2016-17,East of England,East of England,Unitary,Requires improvement to be good,38692,196,51,265,69,1417,158,11,0.19,354,10544,43
Central Bedfordshire,823,2016-17,East of England,East of England,Unitary,Good,60670,161,27,305,50,1344,247,18,0.14,387,5919,16
Buckinghamshire,825,2016-17,South East,South East,County,Inadequate,122367,553,45,455,37,3306,518,16,0.1,341,24426,33
Milton Keynes,826,2016-17,South East,South East,Unitary,Requires improvement to be good,67345,90,13,395,59,2024,348,17,0.2,863,16926,42
Derbyshire,830,2016-17,East Midlands,East Midlands,County,Requires improvement to be good,153059,914,60,630,41,5148,987,19,0.17,309,6139,7
Derby,831,2016-17,East Midlands,East Midlands,Unitary,Good,59312,368,62,450,75,2742,285,10,0.25,3283,14531,40
Dorset,835,2016-17,South West,South West,County,,77157,415,54,485,63,2364,222,9,0.13,166,3864,8
Poole,836,2016-17,South West,South West,Unitary,0,30180,80,27,190,64,974,175,18,0.16,2327,2347,14
Bournemouth,837,2016-17,South West,South West,Unitary,0,35312,134,38,240,67,857,94,11,0.19,4194,5245,25
Durham,840,2016-17,North East,North East,Unitary,Requires improvement to be good,100271,498,50,815,81,4097,355,9,0.24,234,2981,5
Darlington,841,2016-17,North East,North East,Unitary,Requires improvement to be good,22581,69,31,220,97,838,155,19,0.22,538,1525,11
East Sussex,845,2016-17,South East,South East,County,Outstanding,106045,475,45,560,53,3140,459,15,0.17,322,7555,13
Brighton and Hove,846,2016-17,South East,South East,Unitary,Good,51152,367,72,455,89,2166,254,12,0.18,3469,7063,25
Hampshire,850,2016-17,South East,South East,County,Outstanding,283036,1263,45,1440,51,8713,1431,16,0.12,371,19162,12
Portsmouth,851,2016-17,South East,South East,Unitary,Good,43990,242,55,360,81,1432,125,9,0.24,5282,5007,23
Southampton,852,2016-17,South East,South East,Unitary,Requires improvement to be good,49828,276,55,540,108,2287,369,16,0.25,5016,9591,35
Leicestershire,855,2016-17,East Midlands,East Midlands,County,Requires improvement to be good,136857,428,31,510,37,3041,440,15,0.12,327,15455,18
Leicester,856,2016-17,East Midlands,East Midlands,Unitary,Requires improvement to be good,83355,397,48,695,83,2255,123,6,0.28,4766,33502,72
Rutland,857,2016-17,East Midlands,East Midlands,Unitary,Requires improvement to be good,7734,20,26,40,50,240,25,10,0.08,102,377,7
Staffordshire,860,2016-17,West Midlands,West Midlands,County,Good,168699,540,32,995,59,5418,807,15,0.15,331,12217,11
Stoke-on-Trent,861,2016-17,West Midlands,West Midlands,Unitary,Inadequate,56748,411,72,655,115,3752,456,12,0.29,2714,9486,29
Wiltshire,865,2016-17,South West,South West,Unitary,Good,105284,396,38,440,42,2699,380,14,0.11,151,6766,11
Swindon,866,2016-17,South West,South West,Unitary,Good,49478,244,49,325,66,1919,114,6,0.17,950,7629,26
Bracknell Forest,867,2016-17,South East,South East,Unitary,Good,28174,176,63,115,41,973,100,10,0.11,1095,3276,21
Windsor and Maidenhead,868,2016-17,South East,South East,Unitary,Good,34246,141,41,110,32,959,105,11,0.08,762,6562,35
West Berkshire,869,2016-17,South East,South East,Unitary,Good,36045,155,43,160,45,984,100,10,0.1,225,3639,16
Reading,870,2016-17,South East,South East,Unitary,Requires improvement to be good,36656,349,95,260,72,1781,98,6,0.2,4027,9978,55
Slough,871,2016-17,South East,South East,Unitary,Requires improvement to be good,41429,153,37,190,46,1212,197,16,0.2,4540,21339,84
Wokingham,872,2016-17,South East,South East,Unitary,Requires improvement to be good,38167,46,12,75,20,667,51,8,0.07,911,6902,30
Cambridgeshire,873,2016-17,East of England,East of England,County,Requires improvement to be good,133720,560,42,690,51,3266,401,12,0.13,212,15964,22
Peterborough,874,2016-17,East of England,East of England,Unitary,Good,48915,249,51,355,73,1772,232,13,0.25,573,15357,47
Halton,876,2016-17,North West,North West,Unitary,Requires improvement to be good,28359,135,48,265,94,1080,131,12,0.27,1610,869,5
Warrington,877,2016-17,North West,North West,Unitary,Good,44648,232,52,380,85,1460,173,12,0.15,1157,3150,11
Devon,878,2016-17,South West,South West,County,Inadequate,143543,442,31,680,48,3842,914,24,0.14,119,6254,7
Plymouth,879,2016-17,South West,South West,Unitary,Requires improvement to be good,52254,301,58,390,75,2194,392,18,0.23,3286,3780,11
Torbay,880,2016-17,South West,South West,Unitary,Inadequate,25374,212,84,285,112,1196,37,3,0.24,2137,1604,9
Essex,881,2016-17,East of England,East of England,County,Outstanding,305817,535,18,1010,33,6769,974,14,0.17,421,29516,16
Southend-on-Sea,882,2016-17,East of England,East of England,Unitary,Requires improvement to be good,38781,220,57,280,73,1387,198,14,0.23,4325,6616,26
Thurrock,883,2016-17,East of England,East of England,Unitary,Good,42030,285,68,345,82,1788,179,10,0.22,1030,8141,35
Herefordshire,884,2016-17,West Midlands,West Midlands,Unitary,Requires improvement to be good,35895,115,32,300,84,1097,184,17,0.14,87,2285,11
Worcestershire,885,2016-17,West Midlands,West Midlands,County,Requires improvement to be good,116054,517,45,765,66,4067,547,13,0.16,335,9206,13
Kent,886,2016-17,South East,South East,County,Good,332979,1185,36,1900,57,10005,1358,14,0.18,435,39040,19
Medway,887,2016-17,South East,South East,Unitary,Inadequate,63624,313,49,390,61,1776,308,17,0.22,1431,9555,24
Lancashire,888,2016-17,North West,North West,County,Requires improvement to be good,246552,1406,57,1850,75,8250,1293,16,0.18,412,28032,19
Blackburn with Darwen,889,2016-17,North West,North West,Unitary,Good,38480,315,82,370,96,1781,133,8,0.24,1083,12420,53
Blackpool,890,2016-17,North West,North West,Unitary,Inadequate,28660,364,127,525,184,1901,120,6,0.33,4017,1794,11
Nottinghamshire,891,2016-17,East Midlands,East Midlands,County,Good,164126,859,52,775,47,4319,246,6,0.18,389,13761,14
Nottingham,892,2016-17,East Midlands,East Midlands,Unitary,Requires improvement to be good,67073,481,72,615,92,3239,678,21,0.35,4353,19553,53
Shropshire,893,2016-17,West Midlands,West Midlands,Unitary,Good,59461,240,40,290,49,1181,151,13,0.13,98,2565,8
Telford and Wrekin,894,2016-17,West Midlands,West Midlands,Unitary,Outstanding,39488,337,85,380,96,1519,185,12,0.25,598,4774,19
Cheshire East,895,2016-17,North West,North West,Unitary,Requires improvement to be good,75472,275,36,430,57,1974,177,9,0.12,323,5053,11
Cheshire West and Chester,896,2016-17,North West,North West,Unitary,Good,66586,251,38,485,73,2256,271,12,0.17,366,3629,8
Cornwall,908,2016-17,South West,South West,Unitary,Outstanding,106179,381,36,415,39,2924,387,13,0.18,157,4037,6
Cumbria,909,2016-17,North West,North West,County,Requires improvement to be good,92763,523,56,625,68,3104,361,12,0.16,74,3156,5
Gloucestershire,916,2016-17,South West,South West,County,Inadequate,126254,453,36,610,48,3804,265,7,0.15,235,11935,15
Hertfordshire,919,2016-17,East of England,East of England,County,Good,267176,533,20,905,34,5157,1019,20,0.13,716,47909,29
Isle of Wight,921,2016-17,South East,South East,Unitary,Good,25218,199,79,225,90,1247,183,15,0.2,369,1093,7
Lincolnshire,925,2016-17,East Midlands,East Midlands,County,Outstanding,143757,370,26,690,48,4293,454,11,0.18,125,12027,13
Norfolk,926,2016-17,East of England,East of England,County,Requires improvement to be good,169052,581,34,1105,65,4794,1012,21,0.18,166,13259,13
Northamptonshire,928,2016-17,East Midlands,East Midlands,County,Inadequate,165388,912,55,1005,61,5091,317,6,0.17,310,24882,25
Northumberland,929,2016-17,North East,North East,Unitary,Good,58995,234,40,405,69,2485,350,14,0.19,63,1912,5
Oxfordshire,931,2016-17,South East,South East,County,Good,142798,609,43,665,47,4808,514,11,0.12,260,19423,24
Somerset,933,2016-17,South West,South West,County,Requires improvement to be good,109817,413,38,475,43,3109,479,15,0.15,160,5878,10
Suffolk,935,2016-17,East of England,East of England,County,Outstanding,152036,436,29,830,55,3501,660,19,0.15,198,13327,15
Surrey,936,2016-17,South East,South East,County,Inadequate,259248,843,33,870,34,6125,1071,18,0.1,710,31853,24
Warwickshire,937,2016-17,West Midlands,West Midlands,County,Requires improvement to be good,113271,439,39,700,62,3741,531,14,0.14,283,12670,18
West Sussex,938,2016-17,South East,South East,County,Inadequate,171991,549,32,665,39,4548,446,10,0.13,425,17837,18
"Bournemouth, Christchurch and Poole",839,2016-17,South West,South West,Unitary,Not yet inspected,65492,214,32,430,66,1831,269,15,0.17,6521,7592,19
City of London,201,2015-16,,,City of London Corporation,Outstanding,1018,0,0,10,101,43,0,0,0.1,2303,138,78
Camden,202,2015-16,,,London borough,Good,46242,255,55,190,41,1727,455,26,0.27,11191,14706,77
Greenwich,203,2015-16,,,London borough,Good,66010,272,41,520,78,2401,239,10,0.27,5800,22708,67
Hackney,204,2015-16,,,London borough,Requires improvement to be good,61120,226,37,330,54,2821,279,10,0.32,14102,24174,84
Hammersmith and Fulham,205,2015-16,,,London borough,Good,34398,105,31,200,58,1511,228,15,0.27,11110,12341,73
Islington,206,2015-16,,,London borough,Outstanding,40109,161,40,355,88,2459,297,12,0.35,15314,14847,73
Kensington and Chelsea,207,2015-16,,,London borough,Outstanding,28328,66,23,105,37,946,82,9,0.17,13081,8146,78
Lambeth,208,2015-16,,,London borough,Requires improvement to be good,62418,297,48,460,73,2729,276,10,0.3,11963,26261,86
Lewisham,209,2015-16,,,London borough,Requires improvement to be good,67332,337,50,460,68,2622,422,16,0.3,8393,26088,77
Southwark,210,2015-16,,,London borough,Good,62902,284,45,475,76,3317,328,10,0.3,10686,27171,79
Tower Hamlets,211,2015-16,,,London borough,Good,64797,298,46,305,47,2897,139,5,0.39,14850,33096,91
Wandsworth,212,2015-16,,,London borough,Requires improvement to be good,61036,285,47,250,41,2186,279,13,0.21,9324,19989,73
Westminster,213,2015-16,,,London borough,Outstanding,42610,89,21,170,39,2260,289,13,0.29,11079,16940,86
Barking and Dagenham,301,2015-16,,,London borough,Requires improvement to be good,60281,253,42,415,69,2065,131,6,0.32,5625,25538,73
Barnet,302,2015-16,,,London borough,Good,88754,267,30,315,35,2115,267,13,0.18,4366,32874,69
Bexley,303,2015-16,,,London borough,Outstanding,56028,163,29,260,46,1521,286,19,0.19,4001,15283,40
Brent,304,2015-16,,,London borough,Good,75033,198,26,335,45,1902,127,7,0.27,7481,36238,93
Bromley,305,2015-16,,,London borough,Good,72176,230,32,285,40,1738,397,23,0.17,2167,15388,35
Croydon,306,2015-16,,,London borough,Good,93166,360,39,805,86,3980,380,10,0.23,4394,34495,70
Ealing,307,2015-16,,,London borough,Requires improvement to be good,81217,296,36,370,46,2418,184,8,0.23,6198,37389,84
Enfield,308,2015-16,,,London borough,Good,83274,236,28,355,43,2470,553,22,0.31,4067,38389,79
Haringey,309,2015-16,,,London borough,Requires improvement to be good,60298,182,30,405,67,1815,153,8,0.29,9063,25272,80
Harrow,310,2015-16,,,London borough,Good,57186,195,34,180,32,1827,209,11,0.17,4891,26477,87
Havering,311,2015-16,,,London borough,Good,54279,302,56,230,42,1374,279,20,0.2,2220,10741,32
Hillingdon,312,2015-16,,,London borough,Good,70644,341,48,340,48,2301,180,8,0.21,2559,26960,63
Hounslow,313,2015-16,,,London borough,Good,62349,214,34,280,45,1887,273,15,0.22,4759,27807,79
Kingston upon Thames,314,2015-16,,,London borough,Outstanding,37534,142,38,110,29,843,57,7,0.12,4606,11111,53
Merton,315,2015-16,,,London borough,Good,46260,138,30,165,35,1901,233,12,0.17,5474,15729,68
Newham,316,2015-16,,,London borough,Inadequate,83982,346,41,350,42,3420,388,11,0.29,9288,46293,94
Redbridge,317,2015-16,,,London borough,Outstanding,75418,341,45,215,28,2515,465,19,0.19,5281,40507,85
Richmond upon Thames,318,2015-16,,,London borough,Good,44364,117,26,115,26,880,112,13,0.09,3382,8613,39
Sutton,319,2015-16,,,London borough,Good,46142,163,35,230,50,2211,109,5,0.16,4558,15210,48
Waltham Forest,320,2015-16,,,London borough,Good,65030,249,38,280,43,2242,159,7,0.27,6975,29075,82
Birmingham,330,2015-16,,,Metropolitan borough council,Requires improvement to be good,284011,845,30,1815,64,9092,1251,14,0.31,4156,112901,68
Coventry,331,2015-16,,,Metropolitan borough council,Requires improvement to be good,75119,494,66,580,77,3615,335,9,0.25,3490,21795,47
